Customer_ID,Company,Join_Date,Exit_Date,Monthly_Spend,Location,Team_Size,Churned
C110650,Spaces,2020-07-28,,843,Chicago,2,0
C102041,WeWork,2018-07-27,,1051,Austin,3,0
C108668,Spaces,2022-09-28,2023-07-28,349,Denver,1,1
C101114,WeWork,2023-06-03,,380,Seattle,1,0
C113902,Regus,2021-08-22,,466,Mumbai,1,0
C111963,Industrious,2022-10-19,,460,Delhi,1,0
C111072,WeWork,2024-05-20,,371,Seattle,1,0
C103002,Regus,2020-01-20,,303,Delhi,1,0
C119771,WeWork,2020-10-19,,247,Los Angeles,1,0
C108115,Industrious,2021-03-05,,360,New York,1,0
C103525,Regus,2020-11-26,,561,London,2,0
C107879,Regus,2024-06-20,2024-08-20,1077,New York,3,1
C116441,Industrious,2018-01-03,,427,Mumbai,1,0
C116296,Regus,2022-09-07,,412,London,1,0
C112566,Knotel,2019-05-18,,1626,Bengaluru,4,0
C105252,Regus,2020-03-14,,283,Denver,1,0
C119393,Spaces,2021-06-02,2021-10-02,848,London,2,1
C116796,Industrious,2021-10-30,2023-11-30,1749,London,4,1
C108094,Industrious,2019-11-28,,925,Chicago,2,0
C100322,WeWork,2024-12-19,,264,London,1,0
C109923,Spaces,2018-11-26,,415,New York,1,0
C107459,WeWork,2023-05-23,,305,San Francisco,1,0
C119024,WeWork,2024-12-28,,447,Boston,1,0
C117553,Industrious,2018-07-29,,424,Los Angeles,1,0
C109119,Regus,2024-09-23,,391,New York,1,0
C116421,WeWork,2019-11-06,,292,Denver,1,0
C116060,WeWork,2021-04-25,,280,Los Angeles,1,0
C110120,Spaces,2020-02-10,,347,Boston,1,0
C119055,Industrious,2024-02-14,,396,Boston,1,0
C103649,WeWork,2024-07-30,,308,London,1,0
C103941,Spaces,2018-04-29,,1134,Mumbai,3,0
C117880,WeWork,2018-09-09,,403,Austin,1,0
C116675,WeWork,2020-10-08,,322,Seattle,1,0
C112630,WeWork,2020-09-02,,355,Boston,1,0
C111443,WeWork,2019-03-01,,2726,Chicago,20,0
C112157,Industrious,2020-09-20,,332,San Francisco,1,0
C113835,WeWork,2021-11-15,,1274,Denver,4,0
C103434,Spaces,2018-09-03,,833,Seattle,2,0
C118739,Knotel,2020-06-06,,4104,Boston,11,0
C117407,Industrious,2023-03-05,,4355,San Francisco,18,0
C115440,WeWork,2023-10-24,,514,San Francisco,2,0
C110406,WeWork,2019-03-07,2020-05-07,1760,Austin,5,1
C106517,Industrious,2019-07-24,2024-01-24,411,New York,1,1
C100971,WeWork,2019-01-17,,674,Seattle,2,0
C116487,Industrious,2023-08-10,,423,Delhi,1,0
C119730,Knotel,2019-10-02,,1001,Miami,2,0
C113137,WeWork,2019-05-22,,964,London,3,0
C103669,Regus,2024-11-18,,495,San Francisco,1,0
C115983,Industrious,2021-10-29,,464,Bengaluru,1,0
C104058,Regus,2021-04-18,,371,Denver,1,0
C114976,Industrious,2023-02-14,,532,New York,1,0
C115698,WeWork,2018-03-23,,584,Chicago,2,0
C113829,WeWork,2019-01-23,,2889,London,9,0
C113419,Regus,2022-03-13,,744,San Francisco,2,0
C100960,WeWork,2023-06-09,,3029,New York,15,0
C117744,WeWork,2024-02-15,,375,Denver,1,0
C109864,WeWork,2018-10-22,,1729,Austin,5,0
C111263,WeWork,2018-12-08,,320,Denver,1,0
C115782,WeWork,2019-04-10,,962,Los Angeles,3,0
C117196,Industrious,2018-05-29,,440,Seattle,1,0
C107554,Industrious,2018-11-18,,309,New York,1,0
C110498,Regus,2024-10-23,,1475,Seattle,4,0
C117059,Regus,2024-10-30,,1202,Miami,3,0
C117928,WeWork,2021-01-18,,346,Miami,1,0
C107085,Spaces,2021-10-07,,306,New York,1,0
C114753,Knotel,2024-02-14,,400,Delhi,1,0
C104519,Knotel,2020-04-11,,4917,Chicago,14,0
C103024,WeWork,2023-01-22,2023-03-22,1234,Miami,3,1
C112121,Regus,2019-07-10,,3555,Seattle,27,0
C118494,Regus,2024-10-08,,377,San Francisco,1,0
C105483,WeWork,2019-08-22,,321,Los Angeles,1,0
C101419,WeWork,2019-10-07,,264,New York,1,0
C106209,Knotel,2020-05-06,,373,Mumbai,1,0
C110742,Knotel,2018-06-29,,466,New York,1,0
C116143,WeWork,2021-11-08,,3316,Bengaluru,11,0
C117617,WeWork,2019-12-24,,955,Los Angeles,3,0
C114568,Knotel,2020-04-22,,957,Denver,2,0
C100980,Regus,2021-01-24,,343,London,1,0
C102783,WeWork,2022-05-08,,1741,Denver,5,0
C107713,Knotel,2021-05-25,,480,New York,1,0
C111518,Regus,2021-08-13,,424,Mumbai,1,0
C108600,WeWork,2023-02-23,,320,Delhi,1,0
