Customer_ID,Company,Survey_Date,Satisfaction_Score,Amenity_Rating,Price_Rating,NPS_Like
C116115,Knotel,2023-04-09,8,6,6,3
C100521,WeWork,2021-04-07,7,6,7,1
C112388,Industrious,2025-09-08,5,7,2,1
C119389,Industrious,2021-12-30,7,9,5,3
C110257,Industrious,2024-03-27,8,10,5,3
C102929,WeWork,2020-07-04,7,9,9,3
C113886,Regus,2021-05-21,6,6,5,1
C106347,Knotel,2019-10-28,5,6,4,0
C115118,WeWork,2021-05-06,8,7,4,3
C106785,Spaces,2025-04-07,7,6,5,1
C100845,Regus,2020-06-14,5,10,1,1
C109039,Knotel,2024-01-17,7,8,6,1
C104829,Regus,2022-12-19,8,7,7,3
C117273,WeWork,2024-12-20,3,6,5,-2
C101591,Knotel,2022-08-02,5,7,4,0
C115242,Industrious,2024-06-02,10,5,9,4
C100080,Regus,2026-01-31,10,10,5,6
C102891,Regus,2022-06-20,10,6,3,4
C111597,Spaces,2025-03-08,8,5,8,2
C107434,Industrious,2021-09-29,9,6,5,4
C115593,Knotel,2022-05-11,7,7,7,1
C106091,Regus,2024-02-21,7,10,7,2
C102805,WeWork,2019-12-12,7,7,4,3
C107299,WeWork,2020-07-23,5,5,8,-1
C101741,WeWork,2020-11-30,4,9,6,0
C104370,WeWork,2025-09-22,6,8,7,1
C113749,Regus,2021-01-20,10,4,8,5
C101439,Regus,2024-06-17,8,5,9,3
C116862,Spaces,2024-04-13,7,6,5,3
C100545,WeWork,2024-11-18,6,8,6,2
C104612,Regus,2022-06-29,9,7,5,4
C114342,WeWork,2024-01-04,4,7,6,-2
C112022,Industrious,2023-06-30,7,6,8,3
C117624,Regus,2020-08-20,5,8,6,-1
C115800,WeWork,2019-12-16,7,8,7,1
C114635,Regus,2022-10-14,5,5,8,1
C110731,Regus,2023-04-30,8,7,6,3
C106423,Spaces,2022-06-23,8,9,6,2
C119868,Spaces,2023-12-18,8,7,7,2
C107618,Regus,2023-07-04,8,6,7,3
C114805,WeWork,2024-01-21,6,10,7,2
C101838,Spaces,2020-01-24,7,7,6,1
C117046,Industrious,2024-02-04,9,8,6,4
C112784,WeWork,2020-09-03,9,10,5,3
